_id,name,star,comment
658b6ceb9c26e6e0465cd3d3,조항빈,2.5,"'오버 더 문'은 달의 여신 항아가 진짜로 있다고 증명하기 위해 로켓을 만들어 달나라로 가게 되는 아이에 대한 애니메이션이다. 미국과 중국이 합작한 작품이며 동양계 미국인 성우들이 대거 출연한 이 영화는 디즈니 영화를 보는 듯한 느낌이 분명 들었지만, 안타깝게도 디즈니의 공식을 잘 따라하진 못한 것 같다.\n\n영화의 가장 큰 장점은 비주얼이었다. 3D 애니메이션의 익숙한 캐릭터 디자인들이면서도 뭔가 살짝 색다른 듯한 느낌도 있었으며, 무엇보다 다채롭고 화려한 달나라 디자인이 상당히 인상적이었다. 연출의 상당 부분을 화려한 색감과 스펙타클한 씬들에 많이 힘을 쓴 듯 했다. 어떤 면에서 전통 설화를 실제로 하나의 세계로 시각화해서 그 안에서 가족들에 대한 불만을 해소한다는 이야기라는 점에서 '코코'랑 유사한 점이 좀 있었던 것 같다. 하지만 '코코'와 비교하면 이 영화의 부족한 점들이 더욱 부각되기도 한다. 다양한 조연들의 시점에서 전개됐던 '코코'와 달리 캐릭터들의 가족 드라마가 상당히 단편적으로 전개되기 때문에 그만큼 이야기와 메시지가 단순해지고 예측 가능해지는 측면이 매우 강하며, 빌런과의 대립도 너무 시시하고 긴장감이 없으며, 감정적인 몰입감을 극대화시키는 무언가가 별로 없다. 또한, 뮤지컬 영화로서 이 영화의 음악들은 대체로 그닥 듣기 좋지도 않았기 때문에 상당한 마이너스 요인이 되기도 했다. 전반적으로 이 영화는 디즈니나 픽사 영화의 틀과 모습은 갖추고 있지만, 그 감정적 깊이에 있어서는 많이 부족해보이는 좀 아쉬운 작품이었다."
658b6ceb9c26e6e0465cd3d5,송운당,3.0,"2020.11.5.넷플릭스\n자정을 넘어 이걸 보고 있는 30대 아저씨의 의식의 흐르...\n\n오마이걸유아가 부른 사운드트랙에 반해서 기대해서 봤지만... 뭐 소소한 평작... 요세의 트랜드인 다된밥에 중뽕빠뜨리기(중국 말고 중뽕)를 우려했지만, 딱히 그런 요소는 없어서 편하게 보긴 했다.(다만 로켓이 달에 끌려 올라가는 장면에서, 중국과 타이완, 일본열도는 보이는데 한반도는 보이지가 않는데... 이건 대체 무슨 의도인건지... 북한이 안보이는건 익히 알던 사실이긴 한데...)\n\n항아..\n항아의 이름을 처음 들은것은, 어렸을때 포송령의 요재지이를 어린이가 읽기 편하기 편집했던 이야기책에서... 잘 기억은 안나지만 어떤 신적인 존재가 한밤의 술자리를 즐겁게 하기 위해 달속의 항아를 내려오게 하는 장면이 있었는데...  그리스신화속의 절대적인 신들과는 달리, 한낱 유흥을 위해 소환되는 신이라니 하는 생각에 기억에 오래 남아있었던 같다. (물론 그 옛날 이야기책에는 미녀에 대한 묘사가 많아서 그런면이 기억에 많이 남기도 했다. 천녀유혼의 원작도 거기 포함되어있었는데...)\n덕분에 나에게 항아라는 존재의 이미지는 달빛처럼 차갑고 여리여리하고 말이 없는 미녀의 이미지로 기억하고 있었는데...\n\n여기서는.. 매력 터짐... 의상도... 아...\n\n솔직히 어린나이에 이걸 봤다면, 내가 어린시절에 보고 너무나도 두근거렸던 영화 '컴퓨터우주탐험'과 같은 감정을 느꼈을 수도 있을것 같다. 비슷한면이 분명히 있다. 어린이가 스스로 소형 우주선을 만들어 우주로 나가고 외계의 존재를 만나고 돌아온다는 그것....\n물론 나에게 있어서는 컴퓨터우주탐험이 훠~얼씬 훌륭한 영화지만, 지금의 어린이들에게는 다를 수도 있겠지...\n\n안타깝지만 아저씨가 보기에 재미난 영화는 분명 아니었다...\n남은것은 그저 항아와 유아...."
658b6ceb9c26e6e0465cd3d7,유연,3.0,항아 스위프트
658b6ceb9c26e6e0465cd3d9,Fitz,2.5,이것저것 한중일미 끔찍한 혼종...
658b6ceb9c26e6e0465cd3db,살기좋은 지구,3.0,중국 자본으로 디즈니 따라 잡기;;;\n매직 브러쉬 때보다 발전했지만\n아직 UP이나 월e 를 잡기에는\n지구에서 달 정도 격차가 있다\n\n그럼에도 이정도 까지 격차를 좁힌건\n기적일지도 모르겠다\n그리고 중국의 감성과 색채를\n상당히 담아냈고 생각보다 신선 했다\n\n사실 이 영화는 중국의 우주 사업을\n홍보 미화 하는 목적도 있어 보인다\n모르는 사람은 관심 없어서 모르지만\n듣기론 1년에 가장 많은 로켓을 쏘는 나라가\n중국이 된지도 몇년 되었다고 들었다;;;;\n\n정치적 목적성 이라는 핸디캡을 가지고\n트롤이나 겨울 왕국 처럼 노래도 해야하고\n중국문명을 잘녹인 판타지를 만드는건\n어려웠을 꺼 같은데 졸작을 넘어선것 만으로\n대단하다고 생각 한다
658b6ceb9c26e6e0465cd3dd,정정,4.0,나 이런거 좋아하네
658b6ceb9c26e6e0465cd3df,호의와호기심,3.0,토끼가 귀여웠어요.
658b6ceb9c26e6e0465cd3e1,April🌱,2.5,달나라를 형형색색 상상력으로 구현하기.
658b6ceb9c26e6e0465cd3e3,빠나나차차,1.0,다시는 토끼를 무시하지 마라.
658b6ceb9c26e6e0465cd3e5,완이,3.0,"뭉클함에 도전하는 자본이었다.\n스포 : 실패함.\n.\n픽사가 보여준 울림은 기대도 안했고 디즈니가 만들어낸 중독성은 생각도 하지 않았다. 그냥 예쁜 퀄리티의 캐릭터들이 스무스한 질감으로 움직이는 걸 보고 싶었을 뿐. 이 영화에 대한 기대치는 그렇게 높지 않았다. 그런데 그 낮은 기대치를 채우기는 했으나 뭐..넘쳐흐르는 정도는 아니었다. 그냥 뭐 영화가 밍숭맹숭하고 니맛도 내맛도 아닌 그냥 돈맛.\n이 영화가 은근 가족에 대한 사랑이라는 메세지로 다가가며 관객에게 울림을 만들어내려고 노력을 하는 모습이 보이는데, 사실 픽사처럼 만들라는 건 너무 어려운 부탁이라고 생각된다. 그저 그들 나름대로 노력은 했다라는 게 눈에 보인다는 것, 그들이 아무런 생각도 없이 각본을 써내려 갔던 건 아닐 것이라 생각한다. 물론 영화의 분위기나 맥락이 개연성이 되고 뜬금없지는 않지만 너무 과도하다 싶을 수준의 노래하는 장면들은 좀 보기가 그렇긴 했지만.\n그러나 이 영화에겐 커다란 장점이 있긴 하다. 그것은 역시 시각적 즐거움. 영화를 처음보고 ""오?"" 라는 반응이 괜히 나온게 아니다. 정말 이런 각본을 가지고 이런 영화를 만들어낸 감독에게 박수를 치고 싶다. 진짜 애니메이션 퀄리티는 상상이상이었다. 그 중 탁구 장면은 보다가 진짜 깜짝 놀라서 입이 쩍 벌어지며 봤다ㅋㅋㅋㅋ 정말 그 장면은 감독이고 애니메이터고 작곡가고 간에 전부 이갈고 만든 장면 같았다. 그런데 문제는 그 장면이 그렇게까지 공들여가며 만들 정도로 중요한 장면은 아니라는게...ㅎ\n뭐 여튼 저튼 눈요기는 좋다. 좀 놀랄 정도로. 이런걸 보면 각본으로서 보여지는 자본의 한계가 점점 드러나긴 하지만 영상으로서 보여지는 자본의 한계는 내가 생각한 것 보다 훨씬 멀리있다라는 것이 느껴진다."
