_id,name,star,comment
658b9c6300c11fd0474165a0,inee**,평점 별 5점 중,이전에 쓰던 게 망가져서 다른 브랜드 청소기 사서 쓰다가 필터가 불편해서 다시 이걸로 구입했어요. 가장 좋은 점은 필터 청소가 편하다는 것입니다. 손대지 않고도 머리카락과 먼지를 버릴 수 있고 가끔 물로 씻어주면 깨끗해져요. 다른 청소기들은 먼지통에서 먼지와 머리카락 떼어내는 것도 쉽지 않지만 필터가 너무 더러워져서 회복이 안되고 새 필터를 사야 하는데 이건 무한 사용가능해요.
658b9c6300c11fd0474165a2,moon****,평점 별 5점 중,먼저 가격적으로 너무 착하고 조립?도 간편해서 좋네요.\n개인적으로 먼지통이 위 손잡이에 있는것보다 아래쪽에 있는걸 선호합니다. 청소기밀고다닐때 두가지 형태 모두 사용해봤지만 무게 중심이 위보다는 아래가 더 나은 것 같더라고요.조립 후 전원을 켜봤는데 완충이 안된 상태라 그런가 소음이 심하지 않아 좋았습니다. 박스의 청소기색깔도 빨간색으로 되어 있어 살짝 후회했는데 개봉해보니 아니었네요. 현재까지 만족합니다. 유선청소기가 무겁고 구석청소나 가구 이동배치하면서 유선 사용하기 불편했는데 이번기회에 저렴하게 잘 구매했네요. 배터리가 오래버텨주길 바랄뿐입니다.
658b9c6300c11fd0474165a4,abcd****,평점 별 5점 중,기존에 쓰던 테팔청소기 고장나 \n수리문의하니 수리비가 너무 비싸\n11번가서 리뷰보고 구매했습니다 \n배송이 엄청빠르고 \n제품조립해 사용해보니 \n화면상엔 다소 시끄럽지만 \n화면보단 덜시끄럽고 무엇보다 기존쓰던 제품보다 가볍네요\n소모품이라 가격대비 잘산것같아요
658b9c6300c11fd0474165a6,wltn**,평점 별 5점 중,가격대비 대만족 조립도 너무쉽고 성능도좋아요 청소기 이정도 소리는 크지않은거같고요 어머니집에 사다드렸는데 무겁지도않고 어머니쓰기에 편하고좋네요
658b9c6300c11fd0474165a8,사남매엄마,평점 별 5점 중,일단 헤드부분을 처음청소할때 밟아서 내려줘야해요\n청소하다가도 헤드가 들어올？네요\n소리는 조금 있는편이네요
658b9c6300c11fd0474165aa,박디,평점 별 5점 중,기계치라 처음에 이선보고 당황했는데 ㅋㅋㅋ 그냥 연결해서 십자드라이버로 고정하면 돼요! 선이 구겨지면 망가지는거 아닌가 별걸 다 걱정했다는…^^;\n작은방에 돌리기도 좋고 급하게 산거치고 생각보다 가볍고 좋아요
658b9c6300c11fd0474165ac,짠디,평점 별 5점 중,배송 매우 빠르고 몸통이 분리되어있는게 당황 스러웠으나 원래 그런거라 안심하고 써보니 분해조립 쉽고 청소 잘 됩니다.
658b9c6300c11fd0474165ae,ys57******,평점 별 5점 중,처음 돌리는 과정에서 냄새가 나요::  흡입력은 생각보다 약하네요!  세컨 청소기로 사용하려고샀는데 부담없이 사용하기는 괜찮네요!  층전시간은 오래 걸려요!
658b9c6300c11fd0474165b0,kem0***,평점 별 5점 중,리뷰에 소리가 엄청 크다고 해서 걱정 했는데 그리 크지는 안아요 약간 무게감이 있어서 거치대 없이 고정이되네요~ 
658b9c6300c11fd0474165b2,nice******,평점 별 5점 중,엄마 집에서 사용해 보고 좋아서 저도 구매했어요.\n만지면 손 기름 자국이 보이지만 블랙색상 이쁘네요.
658b9c6300c11fd0474165b4,연우하준맘,평점 별 5점 중,오자마자 조립했는데\n조용하고 가볍고 흡입력도 좋고\n마음에 들어요
658b9c6300c11fd0474165b6,naba****,평점 별 5점 중,무게는 가볍지만 소음이 아주 없는 건 아니네요.\n먼지 빨아들일 때 드륵드륵 하는 소리가 나네요
658b9c6400c11fd0474165b8,newc****,평점 별 5점 중,테팔 청소기 구입후 잘사용하고 있습니다\n행사때 쿠폰 받아서 저렴하게 구입했네요\n가성비 좋아요 ~~~~
658b9c6400c11fd0474165ba,율연,평점 별 5점 중,저는 대만족입니다 딜로싸게 삿어여 세컨으로 딱요
658b9c6400c11fd0474165bc,cham***,평점 별 5점 중,상품평이 괜찮은 편이라 가격대비 괜찮을거라 기대하고 샀는데 후회합니다.\n일단 헤드가 바닥에 밀착이 안되서 작은 먼지를 흡입을 못하는게 제일 큰 문제입니다.\n헤드 핸들링이 좋은건 바닥에 밀착이 안되고 힘이 없어서 였어요.\n라이트 범위도 좁고 어두운 편이라 별 도움도 안되고 먼지통 위치 때문에 30cm의 침대 밑 청소도 힘듭니다.\n밧데리 용량도 너무 작고\n딱! 핸드 청소기 수준입니다.
658b9c6400c11fd0474165be,sjk3***,평점 별 5점 중,딱 가격만큼의 성능과 소음입니다. 편하게 부담없이 쓸 수 있을 것 같습니다. 번창하세요~
658b9c6400c11fd0474165c0,eppo**,평점 별 5점 중,급했는데 바로 보내주셔서 기쁘네요\n충전하고 있습니다\n하루라도 청소안하면 불쾌해져서 ㅎ\n테팔 가격대비 성능좋아요\n감사합니다^^
658b9c6400c11fd0474165c2,썬둘,평점 별 5점 중,가격 저렴하고 조립 및 사용하기 쉬워요.\n가볍고 간편해서 만족합니다 
